timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:12:29.786, NVIDIA GeForce RTX 4090, 39 %, 19204 MiB, 49140 MiB, 250.44 W
2026/08/14 05:12:30.786, NVIDIA GeForce RTX 4090, 73 %, 19204 MiB, 49140 MiB, 277.32 W
2026/08/14 05:12:31.786, NVIDIA GeForce RTX 4090, 82 %, 19204 MiB, 49140 MiB, 283.64 W
2026/08/14 05:12:32.787, NVIDIA GeForce RTX 4090, 39 %, 19204 MiB, 49140 MiB, 280.18 W
2026/08/14 05:12:33.787, NVIDIA GeForce RTX 4090, 33 %, 19204 MiB, 49140 MiB, 259.10 W
2026/08/14 05:12:34.787, NVIDIA GeForce RTX 4090, 37 %, 19204 MiB, 49140 MiB, 255.41 W
2026/08/14 05:12:35.787, NVIDIA GeForce RTX 4090, 53 %, 19204 MiB, 49140 MiB, 268.01 W
2026/08/14 05:12:36.787, NVIDIA GeForce RTX 4090, 94 %, 19204 MiB, 49140 MiB, 292.16 W
2026/08/14 05:12:37.787, NVIDIA GeForce RTX 4090, 46 %, 19204 MiB, 49140 MiB, 282.17 W
2026/08/14 05:12:38.788, NVIDIA GeForce RTX 4090, 37 %, 19204 MiB, 49140 MiB, 270.75 W
2026/08/14 05:12:39.788, NVIDIA GeForce RTX 4090, 42 %, 19204 MiB, 49140 MiB, 259.67 W
2026/08/14 05:12:40.788, NVIDIA GeForce RTX 4090, 53 %, 19204 MiB, 49140 MiB, 262.66 W
2026/08/14 05:12:41.788, NVIDIA GeForce RTX 4090, 71 %, 19204 MiB, 49140 MiB, 278.12 W
2026/08/14 05:12:42.788, NVIDIA GeForce RTX 4090, 57 %, 19204 MiB, 49140 MiB, 287.16 W
2026/08/14 05:12:43.788, NVIDIA GeForce RTX 4090, 31 %, 19204 MiB, 49140 MiB, 268.52 W
2026/08/14 05:12:44.789, NVIDIA GeForce RTX 4090, 41 %, 19204 MiB, 49140 MiB, 268.17 W
2026/08/14 05:12:45.789, NVIDIA GeForce RTX 4090, 48 %, 19204 MiB, 49140 MiB, 267.06 W
2026/08/14 05:12:46.789, NVIDIA GeForce RTX 4090, 73 %, 19204 MiB, 49140 MiB, 277.52 W
2026/08/14 05:12:47.789, NVIDIA GeForce RTX 4090, 90 %, 19204 MiB, 49140 MiB, 285.61 W
2026/08/14 05:12:48.789, NVIDIA GeForce RTX 4090, 27 %, 19204 MiB, 49140 MiB, 288.03 W
2026/08/14 05:12:49.790, NVIDIA GeForce RTX 4090, 34 %, 19204 MiB, 49140 MiB, 263.16 W
2026/08/14 05:12:50.790, NVIDIA GeForce RTX 4090, 40 %, 19204 MiB, 49140 MiB, 267.81 W
2026/08/14 05:12:51.790, NVIDIA GeForce RTX 4090, 61 %, 19204 MiB, 49140 MiB, 272.46 W
2026/08/14 05:12:52.790, NVIDIA GeForce RTX 4090, 94 %, 19204 MiB, 49140 MiB, 290.77 W
2026/08/14 05:12:53.791, NVIDIA GeForce RTX 4090, 46 %, 19204 MiB, 49140 MiB, 295.38 W
2026/08/14 05:12:54.791, NVIDIA GeForce RTX 4090, 37 %, 19204 MiB, 49140 MiB, 273.19 W
2026/08/14 05:12:55.791, NVIDIA GeForce RTX 4090, 37 %, 19204 MiB, 49140 MiB, 269.46 W
2026/08/14 05:12:56.791, NVIDIA GeForce RTX 4090, 50 %, 19204 MiB, 49140 MiB, 272.85 W
2026/08/14 05:12:57.792, NVIDIA GeForce RTX 4090, 94 %, 19204 MiB, 49140 MiB, 298.66 W
2026/08/14 05:12:58.792, NVIDIA GeForce RTX 4090, 83 %, 19204 MiB, 49140 MiB, 291.50 W
2026/08/14 05:12:59.792, NVIDIA GeForce RTX 4090, 33 %, 19204 MiB, 49140 MiB, 283.54 W
2026/08/14 05:13:00.792, NVIDIA GeForce RTX 4090, 38 %, 19204 MiB, 49140 MiB, 285.51 W
2026/08/14 05:13:01.792, NVIDIA GeForce RTX 4090, 74 %, 19204 MiB, 49140 MiB, 286.58 W
2026/08/14 05:13:02.793, NVIDIA GeForce RTX 4090, 81 %, 19204 MiB, 49140 MiB, 309.92 W
2026/08/14 05:13:03.793, NVIDIA GeForce RTX 4090, 37 %, 19204 MiB, 49140 MiB, 272.30 W
2026/08/14 05:13:04.793, NVIDIA GeForce RTX 4090, 40 %, 19204 MiB, 49140 MiB, 270.03 W
2026/08/14 05:13:05.793, NVIDIA GeForce RTX 4090, 47 %, 19204 MiB, 49140 MiB, 278.62 W
2026/08/14 05:13:06.794, NVIDIA GeForce RTX 4090, 94 %, 19204 MiB, 49140 MiB, 301.41 W
2026/08/14 05:13:07.794, NVIDIA GeForce RTX 4090, 100 %, 19204 MiB, 49140 MiB, 298.61 W
2026/08/14 05:13:08.794, NVIDIA GeForce RTX 4090, 40 %, 19204 MiB, 49140 MiB, 335.04 W
2026/08/14 05:13:09.795, NVIDIA GeForce RTX 4090, 49 %, 19204 MiB, 49140 MiB, 273.57 W
2026/08/14 05:13:10.795, NVIDIA GeForce RTX 4090, 74 %, 19204 MiB, 49140 MiB, 282.05 W
2026/08/14 05:13:11.795, NVIDIA GeForce RTX 4090, 57 %, 19204 MiB, 49140 MiB, 303.68 W
2026/08/14 05:13:12.795, NVIDIA GeForce RTX 4090, 26 %, 19206 MiB, 49140 MiB, 274.98 W
2026/08/14 05:13:13.796, NVIDIA GeForce RTX 4090, 31 %, 19206 MiB, 49140 MiB, 274.87 W
2026/08/14 05:13:14.796, NVIDIA GeForce RTX 4090, 53 %, 19206 MiB, 49140 MiB, 286.68 W
2026/08/14 05:13:15.796, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 271.97 W
2026/08/14 05:13:16.796, NVIDIA GeForce RTX 4090, 94 %, 19206 MiB, 49140 MiB, 293.17 W
2026/08/14 05:13:17.797, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 299.24 W
2026/08/14 05:13:18.797, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 271.88 W
2026/08/14 05:13:19.797, NVIDIA GeForce RTX 4090, 43 %, 19206 MiB, 49140 MiB, 277.51 W
2026/08/14 05:13:20.797, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 268.00 W
2026/08/14 05:13:21.798, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 285.11 W
2026/08/14 05:13:22.798, NVIDIA GeForce RTX 4090, 89 %, 19206 MiB, 49140 MiB, 298.78 W
2026/08/14 05:13:23.798, NVIDIA GeForce RTX 4090, 23 %, 19206 MiB, 49140 MiB, 294.31 W
2026/08/14 05:13:24.798, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 261.34 W
2026/08/14 05:13:25.799, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 278.65 W
2026/08/14 05:13:26.799, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 287.32 W
2026/08/14 05:13:27.799, NVIDIA GeForce RTX 4090, 77 %, 19206 MiB, 49140 MiB, 305.11 W
2026/08/14 05:13:28.799, NVIDIA GeForce RTX 4090, 66 %, 19206 MiB, 49140 MiB, 282.11 W
2026/08/14 05:13:29.799, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 290.36 W
2026/08/14 05:13:30.800, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 273.03 W
2026/08/14 05:13:31.800, NVIDIA GeForce RTX 4090, 46 %, 19206 MiB, 49140 MiB, 280.97 W
2026/08/14 05:13:32.800, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 287.30 W
2026/08/14 05:13:33.801, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 308.68 W
2026/08/14 05:13:34.801, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 280.41 W
2026/08/14 05:13:35.801, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 281.68 W
2026/08/14 05:13:36.802, NVIDIA GeForce RTX 4090, 51 %, 19206 MiB, 49140 MiB, 277.30 W
2026/08/14 05:13:37.802, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 275.22 W
2026/08/14 05:13:38.802, NVIDIA GeForce RTX 4090, 94 %, 19206 MiB, 49140 MiB, 298.24 W
2026/08/14 05:13:39.802, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 303.94 W
2026/08/14 05:13:40.803, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 271.22 W
2026/08/14 05:13:41.803, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 267.55 W
2026/08/14 05:13:42.803, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 288.82 W
2026/08/14 05:13:43.803, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 290.80 W
2026/08/14 05:13:44.804, NVIDIA GeForce RTX 4090, 81 %, 19206 MiB, 49140 MiB, 288.91 W
2026/08/14 05:13:45.804, NVIDIA GeForce RTX 4090, 63 %, 19206 MiB, 49140 MiB, 288.14 W
2026/08/14 05:13:46.804, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 286.43 W
2026/08/14 05:13:47.804, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 269.93 W
2026/08/14 05:13:48.883, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 280.07 W
2026/08/14 05:13:49.884, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 277.79 W
2026/08/14 05:13:50.884, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 349.79 W
2026/08/14 05:13:51.884, NVIDIA GeForce RTX 4090, 2 %, 19206 MiB, 49140 MiB, 105.17 W
2026/08/14 05:13:52.884, NVIDIA GeForce RTX 4090, 0 %, 19206 MiB, 49140 MiB, 98.21 W
2026/08/14 05:13:53.884, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 155.18 W
2026/08/14 05:13:54.885, NVIDIA GeForce RTX 4090, 28 %, 19206 MiB, 49140 MiB, 277.76 W
2026/08/14 05:13:55.885, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 274.99 W
2026/08/14 05:13:56.885, NVIDIA GeForce RTX 4090, 43 %, 19206 MiB, 49140 MiB, 279.73 W
2026/08/14 05:13:57.885, NVIDIA GeForce RTX 4090, 68 %, 19206 MiB, 49140 MiB, 298.30 W
2026/08/14 05:13:58.886, NVIDIA GeForce RTX 4090, 89 %, 19206 MiB, 49140 MiB, 297.92 W
2026/08/14 05:13:59.886, NVIDIA GeForce RTX 4090, 56 %, 19206 MiB, 49140 MiB, 276.11 W
2026/08/14 05:14:00.886, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 277.20 W
2026/08/14 05:14:01.886, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 280.28 W
2026/08/14 05:14:02.887, NVIDIA GeForce RTX 4090, 62 %, 19206 MiB, 49140 MiB, 295.27 W
2026/08/14 05:14:03.887, NVIDIA GeForce RTX 4090, 92 %, 19206 MiB, 49140 MiB, 310.74 W
2026/08/14 05:14:04.887, NVIDIA GeForce RTX 4090, 54 %, 19206 MiB, 49140 MiB, 296.26 W
2026/08/14 05:14:05.887, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 269.21 W
2026/08/14 05:14:06.888, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 275.57 W
2026/08/14 05:14:07.888, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 272.62 W
2026/08/14 05:14:08.888, NVIDIA GeForce RTX 4090, 59 %, 19206 MiB, 49140 MiB, 289.73 W
2026/08/14 05:14:09.889, NVIDIA GeForce RTX 4090, 70 %, 19206 MiB, 49140 MiB, 302.62 W
2026/08/14 05:14:10.889, NVIDIA GeForce RTX 4090, 89 %, 19206 MiB, 49140 MiB, 283.06 W
2026/08/14 05:14:11.889, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 287.39 W
2026/08/14 05:14:12.889, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 265.42 W
2026/08/14 05:14:13.889, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 264.83 W
2026/08/14 05:14:14.890, NVIDIA GeForce RTX 4090, 31 %, 19206 MiB, 49140 MiB, 265.19 W
2026/08/14 05:14:15.890, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 279.96 W
2026/08/14 05:14:16.890, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 290.65 W
2026/08/14 05:14:17.891, NVIDIA GeForce RTX 4090, 79 %, 19206 MiB, 49140 MiB, 288.79 W
2026/08/14 05:14:18.891, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 288.57 W
2026/08/14 05:14:19.891, NVIDIA GeForce RTX 4090, 56 %, 19206 MiB, 49140 MiB, 265.77 W
2026/08/14 05:14:20.891, NVIDIA GeForce RTX 4090, 22 %, 19206 MiB, 49140 MiB, 273.23 W
2026/08/14 05:14:21.892, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 268.27 W
2026/08/14 05:14:22.892, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 270.67 W
2026/08/14 05:14:23.892, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 274.49 W
2026/08/14 05:14:24.892, NVIDIA GeForce RTX 4090, 61 %, 19206 MiB, 49140 MiB, 274.83 W
2026/08/14 05:14:25.892, NVIDIA GeForce RTX 4090, 95 %, 19206 MiB, 49140 MiB, 300.29 W
2026/08/14 05:14:26.893, NVIDIA GeForce RTX 4090, 56 %, 19206 MiB, 49140 MiB, 300.63 W
2026/08/14 05:14:27.893, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 271.66 W
2026/08/14 05:14:28.893, NVIDIA GeForce RTX 4090, 30 %, 19206 MiB, 49140 MiB, 265.81 W
2026/08/14 05:14:29.893, NVIDIA GeForce RTX 4090, 43 %, 19206 MiB, 49140 MiB, 274.56 W
2026/08/14 05:14:30.894, NVIDIA GeForce RTX 4090, 51 %, 19206 MiB, 49140 MiB, 280.33 W
2026/08/14 05:14:31.894, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 298.68 W
2026/08/14 05:14:32.894, NVIDIA GeForce RTX 4090, 91 %, 19206 MiB, 49140 MiB, 292.52 W
2026/08/14 05:14:33.894, NVIDIA GeForce RTX 4090, 46 %, 19206 MiB, 49140 MiB, 303.33 W
2026/08/14 05:14:34.894, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 283.01 W
2026/08/14 05:14:35.895, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 287.86 W
2026/08/14 05:14:36.895, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 291.07 W
2026/08/14 05:14:37.895, NVIDIA GeForce RTX 4090, 47 %, 19206 MiB, 49140 MiB, 365.70 W
2026/08/14 05:14:38.895, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 281.28 W
2026/08/14 05:14:39.895, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 285.21 W
2026/08/14 05:14:40.895, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 277.63 W
2026/08/14 05:14:41.896, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 284.58 W
2026/08/14 05:14:42.896, NVIDIA GeForce RTX 4090, 96 %, 19206 MiB, 49140 MiB, 310.17 W
2026/08/14 05:14:43.896, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 269.56 W
2026/08/14 05:14:44.896, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 264.87 W
2026/08/14 05:14:45.896, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 264.59 W
2026/08/14 05:14:46.897, NVIDIA GeForce RTX 4090, 39 %, 19206 MiB, 49140 MiB, 273.66 W
2026/08/14 05:14:47.897, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 270.05 W
2026/08/14 05:14:48.897, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 275.45 W
2026/08/14 05:14:49.897, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 283.92 W
2026/08/14 05:14:50.897, NVIDIA GeForce RTX 4090, 90 %, 19206 MiB, 49140 MiB, 286.25 W
2026/08/14 05:14:51.898, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 285.76 W
2026/08/14 05:14:52.898, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 280.36 W
2026/08/14 05:14:53.898, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 274.63 W
2026/08/14 05:14:54.898, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 277.99 W
2026/08/14 05:14:55.898, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 294.89 W
2026/08/14 05:14:56.898, NVIDIA GeForce RTX 4090, 59 %, 19206 MiB, 49140 MiB, 309.82 W
2026/08/14 05:14:57.899, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 281.15 W
2026/08/14 05:14:58.899, NVIDIA GeForce RTX 4090, 30 %, 19206 MiB, 49140 MiB, 266.63 W
2026/08/14 05:14:59.899, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 264.44 W
2026/08/14 05:15:00.900, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 273.27 W
2026/08/14 05:15:01.900, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 273.41 W
2026/08/14 05:15:02.900, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 290.10 W
2026/08/14 05:15:03.901, NVIDIA GeForce RTX 4090, 93 %, 19206 MiB, 49140 MiB, 306.68 W
2026/08/14 05:15:04.901, NVIDIA GeForce RTX 4090, 57 %, 19206 MiB, 49140 MiB, 295.48 W
2026/08/14 05:15:05.901, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 277.97 W
2026/08/14 05:15:06.901, NVIDIA GeForce RTX 4090, 44 %, 19206 MiB, 49140 MiB, 272.86 W
2026/08/14 05:15:07.902, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 286.14 W
2026/08/14 05:15:08.902, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 289.11 W
