timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 03:03:00.793, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.36 W
2026/08/04 03:03:01.793, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.41 W
2026/08/04 03:03:02.793, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.59 W
2026/08/04 03:03:03.793, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.25 W
2026/08/04 03:03:04.794, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.00 W
2026/08/04 03:03:05.794, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.98 W
2026/08/04 03:03:06.794, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.02 W
2026/08/04 03:03:07.795, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.21 W
2026/08/04 03:03:08.795, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.13 W
2026/08/04 03:03:09.796, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 14.04 W
2026/08/04 03:03:10.798, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.94 W
2026/08/04 03:03:11.798, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.88 W
2026/08/04 03:03:12.798, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.81 W
2026/08/04 03:03:13.799, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.69 W
2026/08/04 03:03:14.799, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.68 W
2026/08/04 03:03:15.799, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.69 W
2026/08/04 03:03:16.800, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.80 W
2026/08/04 03:03:17.800, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.57 W
2026/08/04 03:03:18.804, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.37 W
2026/08/04 03:03:19.812, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.47 W
2026/08/04 03:03:20.813, NVIDIA GeForce RTX 4090, 3 %, 0 %, 3412 MiB, 49140 MiB, 17.20 W
2026/08/04 03:03:21.813, NVIDIA GeForce RTX 4090, 29 %, 1 %, 9938 MiB, 49140 MiB, 59.59 W
2026/08/04 03:03:22.813, NVIDIA GeForce RTX 4090, 40 %, 1 %, 16728 MiB, 49140 MiB, 59.88 W
2026/08/04 03:03:23.816, NVIDIA GeForce RTX 4090, 12 %, 8 %, 18998 MiB, 49140 MiB, 65.85 W
2026/08/04 03:03:24.816, NVIDIA GeForce RTX 4090, 67 %, 38 %, 19202 MiB, 49140 MiB, 221.35 W
2026/08/04 03:03:25.816, NVIDIA GeForce RTX 4090, 91 %, 48 %, 19204 MiB, 49140 MiB, 382.83 W
2026/08/04 03:03:26.818, NVIDIA GeForce RTX 4090, 93 %, 40 %, 19204 MiB, 49140 MiB, 397.11 W
2026/08/04 03:03:27.818, NVIDIA GeForce RTX 4090, 96 %, 34 %, 19204 MiB, 49140 MiB, 397.28 W
2026/08/04 03:03:28.818, NVIDIA GeForce RTX 4090, 97 %, 33 %, 19204 MiB, 49140 MiB, 392.84 W
2026/08/04 03:03:29.819, NVIDIA GeForce RTX 4090, 98 %, 38 %, 19204 MiB, 49140 MiB, 397.58 W
2026/08/04 03:03:30.819, NVIDIA GeForce RTX 4090, 99 %, 48 %, 19204 MiB, 49140 MiB, 398.02 W
2026/08/04 03:03:31.820, NVIDIA GeForce RTX 4090, 95 %, 56 %, 19204 MiB, 49140 MiB, 398.24 W
2026/08/04 03:03:32.824, NVIDIA GeForce RTX 4090, 90 %, 50 %, 19204 MiB, 49140 MiB, 396.85 W
2026/08/04 03:03:33.825, NVIDIA GeForce RTX 4090, 91 %, 50 %, 19204 MiB, 49140 MiB, 394.91 W
2026/08/04 03:03:34.825, NVIDIA GeForce RTX 4090, 93 %, 45 %, 19204 MiB, 49140 MiB, 399.75 W
2026/08/04 03:03:35.825, NVIDIA GeForce RTX 4090, 95 %, 35 %, 19204 MiB, 49140 MiB, 399.69 W
2026/08/04 03:03:36.828, NVIDIA GeForce RTX 4090, 97 %, 33 %, 19204 MiB, 49140 MiB, 400.69 W
