timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 02:29:59.991, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 97.86 W, 48
2026/08/14 02:30:00.997, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 98.39 W, 48
2026/08/14 02:30:01.997, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 92.13 W, 47
2026/08/14 02:30:02.997, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 69.32 W, 46
2026/08/14 02:30:03.998, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 44.59 W, 46
2026/08/14 02:30:04.998, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.39 W, 45
2026/08/14 02:30:05.998, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.92 W, 45
2026/08/14 02:30:06.998, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.13 W, 45
2026/08/14 02:30:07.999, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.71 W, 45
2026/08/14 02:30:08.999, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.18 W, 44
2026/08/14 02:30:09.999, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.71 W, 44
2026/08/14 02:30:10.999, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.96 W, 44
2026/08/14 02:30:11.999, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.37 W, 44
2026/08/14 02:30:13.000, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.00 W, 44
2026/08/14 02:30:14.000, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.76 W, 43
2026/08/14 02:30:15.000, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.81 W, 43
2026/08/14 02:30:16.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.70 W, 43
2026/08/14 02:30:17.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.19 W, 43
2026/08/14 02:30:18.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.71 W, 43
2026/08/14 02:30:19.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.59 W, 43
2026/08/14 02:30:20.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.53 W, 43
2026/08/14 02:30:21.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.15 W, 43
2026/08/14 02:30:22.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.83 W, 42
2026/08/14 02:30:23.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.79 W, 42
2026/08/14 02:30:24.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.85 W, 42
2026/08/14 02:30:25.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.77 W, 42
2026/08/14 02:30:26.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.64 W, 42
2026/08/14 02:30:27.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.47 W, 42
2026/08/14 02:30:28.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.38 W, 42
2026/08/14 02:30:29.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.35 W, 42
2026/08/14 02:30:30.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.23 W, 42
2026/08/14 02:30:31.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.16 W, 42
2026/08/14 02:30:32.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.96 W, 42
2026/08/14 02:30:33.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.87 W, 41
2026/08/14 02:30:34.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.00 W, 41
