timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 00:03:52.495, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 41.89 W, 46
2026/08/14 00:03:53.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 36.50 W, 46
2026/08/14 00:03:54.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 35.66 W, 46
2026/08/14 00:03:55.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 35.12 W, 45
2026/08/14 00:03:56.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 34.50 W, 45
2026/08/14 00:03:57.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.93 W, 45
2026/08/14 00:03:58.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.06 W, 45
2026/08/14 00:03:59.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.73 W, 44
2026/08/14 00:04:00.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.60 W, 44
2026/08/14 00:04:01.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.10 W, 44
2026/08/14 00:04:02.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.47 W, 44
2026/08/14 00:04:03.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.28 W, 44
2026/08/14 00:04:04.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.98 W, 44
2026/08/14 00:04:05.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.69 W, 43
2026/08/14 00:04:06.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.54 W, 43
2026/08/14 00:04:07.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.17 W, 43
2026/08/14 00:04:08.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.01 W, 43
2026/08/14 00:04:09.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.05 W, 43
2026/08/14 00:04:10.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.88 W, 43
2026/08/14 00:04:11.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.43 W, 43
2026/08/14 00:04:12.510, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.36 W, 43
2026/08/14 00:04:13.510, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.41 W, 42
2026/08/14 00:04:14.510, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.23 W, 42
2026/08/14 00:04:15.510, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.27 W, 42
2026/08/14 00:04:16.510, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.29 W, 42
2026/08/14 00:04:17.511, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.30 W, 42
2026/08/14 00:04:18.511, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.16 W, 42
2026/08/14 00:04:19.511, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.88 W, 42
2026/08/14 00:04:20.511, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.11 W, 42
2026/08/14 00:04:21.512, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.23 W, 42
2026/08/14 00:04:22.512, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.71 W, 42
2026/08/14 00:04:23.512, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.67 W, 42
2026/08/14 00:04:24.512, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.74 W, 41
2026/08/14 00:04:25.513, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.34 W, 41
2026/08/14 00:04:26.513, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.39 W, 41
2026/08/14 00:04:27.513, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.52 W, 41
2026/08/14 00:04:28.513, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.28 W, 41
2026/08/14 00:04:29.513, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.04 W, 41
2026/08/14 00:04:30.514, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.14 W, 41
2026/08/14 00:04:31.514, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.37 W, 41
2026/08/14 00:04:32.514, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.31 W, 41
2026/08/14 00:04:33.514, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.25 W, 41
2026/08/14 00:04:34.515, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.08 W, 41
2026/08/14 00:04:35.515, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.72 W, 41
2026/08/14 00:04:36.515, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.63 W, 41
2026/08/14 00:04:37.515, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.78 W, 41
2026/08/14 00:04:38.516, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.83 W, 41
2026/08/14 00:04:39.516, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.91 W, 40
2026/08/14 00:04:40.516, NVIDIA GeForce RTX 4090, 0 %, 0 %, 2364 MiB, 49140 MiB, 29.23 W, 40
2026/08/14 00:04:41.516, NVIDIA GeForce RTX 4090, 59 %, 1 %, 9654 MiB, 49140 MiB, 77.02 W, 42
2026/08/14 00:04:42.517, NVIDIA GeForce RTX 4090, 69 %, 1 %, 17258 MiB, 49140 MiB, 91.28 W, 43
2026/08/14 00:04:43.517, NVIDIA GeForce RTX 4090, 40 %, 13 %, 19200 MiB, 49140 MiB, 185.61 W, 52
2026/08/14 00:04:44.517, NVIDIA GeForce RTX 4090, 40 %, 16 %, 19202 MiB, 49140 MiB, 256.75 W, 53
2026/08/14 00:04:45.518, NVIDIA GeForce RTX 4090, 66 %, 37 %, 19204 MiB, 49140 MiB, 273.82 W, 53
2026/08/14 00:04:46.518, NVIDIA GeForce RTX 4090, 76 %, 45 %, 19204 MiB, 49140 MiB, 273.53 W, 57
2026/08/14 00:04:47.518, NVIDIA GeForce RTX 4090, 79 %, 38 %, 19204 MiB, 49140 MiB, 276.64 W, 56
2026/08/14 00:04:48.519, NVIDIA GeForce RTX 4090, 37 %, 13 %, 19204 MiB, 49140 MiB, 268.62 W, 53
2026/08/14 00:04:49.519, NVIDIA GeForce RTX 4090, 33 %, 11 %, 19206 MiB, 49140 MiB, 263.96 W, 55
2026/08/14 00:04:50.519, NVIDIA GeForce RTX 4090, 39 %, 15 %, 19206 MiB, 49140 MiB, 265.70 W, 54
2026/08/14 00:04:51.519, NVIDIA GeForce RTX 4090, 68 %, 38 %, 19206 MiB, 49140 MiB, 280.99 W, 56
2026/08/14 00:04:52.519, NVIDIA GeForce RTX 4090, 88 %, 47 %, 19206 MiB, 49140 MiB, 289.80 W, 60
2026/08/14 00:04:53.520, NVIDIA GeForce RTX 4090, 23 %, 9 %, 19206 MiB, 49140 MiB, 274.76 W, 55
2026/08/14 00:04:54.520, NVIDIA GeForce RTX 4090, 39 %, 14 %, 19206 MiB, 49140 MiB, 259.05 W, 54
