timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 04:30:53.094, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 107.23 W, 51
2026/08/14 04:30:54.101, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 106.03 W, 51
2026/08/14 04:30:55.101, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 94.92 W, 49
2026/08/14 04:30:56.101, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 72.94 W, 49
2026/08/14 04:30:57.102, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 49.60 W, 48
2026/08/14 04:30:58.102, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 43.83 W, 48
2026/08/14 04:30:59.102, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 43.41 W, 47
2026/08/14 04:31:00.102, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 42.65 W, 47
2026/08/14 04:31:01.103, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 42.10 W, 47
2026/08/14 04:31:02.103, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 41.19 W, 47
2026/08/14 04:31:03.103, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 40.49 W, 46
2026/08/14 04:31:04.183, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.86 W, 46
2026/08/14 04:31:05.184, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.20 W, 46
2026/08/14 04:31:06.184, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 38.46 W, 46
2026/08/14 04:31:07.184, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.90 W, 46
2026/08/14 04:31:08.184, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.48 W, 45
2026/08/14 04:31:09.184, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.98 W, 45
2026/08/14 04:31:10.185, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.58 W, 45
2026/08/14 04:31:11.185, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.21 W, 45
2026/08/14 04:31:12.185, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.77 W, 45
2026/08/14 04:31:13.185, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.18 W, 45
2026/08/14 04:31:14.185, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.91 W, 44
2026/08/14 04:31:15.186, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.76 W, 44
2026/08/14 04:31:16.186, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.58 W, 44
2026/08/14 04:31:17.186, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.74 W, 44
