timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 00:39:05.493, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 102.18 W, 49
2026/08/14 00:39:06.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 102.18 W, 49
2026/08/14 00:39:07.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 94.49 W, 47
2026/08/14 00:39:08.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 71.44 W, 47
2026/08/14 00:39:09.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 46.45 W, 46
2026/08/14 00:39:10.501, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.19 W, 46
2026/08/14 00:39:11.501, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 38.88 W, 45
2026/08/14 00:39:12.501, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.49 W, 45
2026/08/14 00:39:13.501, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.01 W, 45
2026/08/14 00:39:14.502, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.20 W, 45
2026/08/14 00:39:15.502, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.33 W, 45
2026/08/14 00:39:16.502, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.52 W, 44
2026/08/14 00:39:17.502, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.97 W, 44
2026/08/14 00:39:18.503, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.76 W, 44
2026/08/14 00:39:19.503, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.75 W, 44
2026/08/14 00:39:20.503, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.44 W, 44
2026/08/14 00:39:21.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.93 W, 44
2026/08/14 00:39:22.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.72 W, 43
2026/08/14 00:39:23.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.58 W, 43
2026/08/14 00:39:24.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.26 W, 43
2026/08/14 00:39:25.504, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.23 W, 43
2026/08/14 00:39:26.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.27 W, 43
2026/08/14 00:39:27.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.89 W, 43
2026/08/14 00:39:28.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.32 W, 43
2026/08/14 00:39:29.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.88 W, 43
2026/08/14 00:39:30.505, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.79 W, 42
2026/08/14 00:39:31.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.75 W, 42
2026/08/14 00:39:32.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.61 W, 42
2026/08/14 00:39:33.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.53 W, 42
2026/08/14 00:39:34.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.51 W, 42
2026/08/14 00:39:35.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.44 W, 42
2026/08/14 00:39:36.506, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.47 W, 42
2026/08/14 00:39:37.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.59 W, 42
2026/08/14 00:39:38.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.53 W, 42
2026/08/14 00:39:39.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.49 W, 42
2026/08/14 00:39:40.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.62 W, 42
2026/08/14 00:39:41.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.54 W, 41
2026/08/14 00:39:42.507, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.09 W, 41
2026/08/14 00:39:43.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.88 W, 41
2026/08/14 00:39:44.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.75 W, 41
2026/08/14 00:39:45.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.68 W, 41
2026/08/14 00:39:46.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.70 W, 41
2026/08/14 00:39:47.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.63 W, 41
2026/08/14 00:39:48.508, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.47 W, 41
2026/08/14 00:39:49.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.31 W, 41
2026/08/14 00:39:50.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.38 W, 41
2026/08/14 00:39:51.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.28 W, 41
2026/08/14 00:39:52.509, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.94 W, 41
2026/08/14 00:39:53.509, NVIDIA GeForce RTX 4090, 23 %, 0 %, 2238 MiB, 49140 MiB, 38.28 W, 42
2026/08/14 00:39:54.509, NVIDIA GeForce RTX 4090, 41 %, 1 %, 7390 MiB, 49140 MiB, 76.07 W, 43
2026/08/14 00:39:55.510, NVIDIA GeForce RTX 4090, 48 %, 1 %, 14522 MiB, 49140 MiB, 90.42 W, 43
2026/08/14 00:39:56.510, NVIDIA GeForce RTX 4090, 58 %, 26 %, 18998 MiB, 49140 MiB, 119.69 W, 46
2026/08/14 00:39:57.510, NVIDIA GeForce RTX 4090, 42 %, 17 %, 19200 MiB, 49140 MiB, 277.24 W, 55
2026/08/14 00:39:58.510, NVIDIA GeForce RTX 4090, 34 %, 11 %, 19204 MiB, 49140 MiB, 264.68 W, 53
2026/08/14 00:39:59.583, NVIDIA GeForce RTX 4090, 68 %, 25 %, 19204 MiB, 49140 MiB, 269.77 W, 54
2026/08/14 00:40:00.584, NVIDIA GeForce RTX 4090, 91 %, 56 %, 19204 MiB, 49140 MiB, 298.43 W, 57
