timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 02:06:20.895, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 99.27 W, 49
2026/08/14 02:06:21.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 100.95 W, 49
2026/08/14 02:06:22.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 94.09 W, 48
2026/08/14 02:06:23.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 72.42 W, 47
2026/08/14 02:06:24.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 48.93 W, 46
2026/08/14 02:06:25.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 40.85 W, 46
2026/08/14 02:06:26.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.59 W, 46
2026/08/14 02:06:27.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.02 W, 45
2026/08/14 02:06:28.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.74 W, 45
2026/08/14 02:06:29.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.01 W, 45
2026/08/14 02:06:30.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.44 W, 45
2026/08/14 02:06:31.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.19 W, 45
2026/08/14 02:06:32.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.85 W, 44
2026/08/14 02:06:33.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.24 W, 44
2026/08/14 02:06:34.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.99 W, 44
2026/08/14 02:06:35.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.94 W, 44
2026/08/14 02:06:36.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.43 W, 44
2026/08/14 02:06:37.906, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.08 W, 44
