timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:30:28.564, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 28.50 W
2026/08/14 05:30:29.572, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 28.50 W
2026/08/14 05:30:30.573, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 28.38 W
2026/08/14 05:30:31.573, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 28.87 W
2026/08/14 05:30:32.573, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 29.48 W
2026/08/14 05:30:33.573, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.02 W
2026/08/14 05:30:34.573, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.51 W
2026/08/14 05:30:35.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.24 W
2026/08/14 05:30:36.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.13 W
2026/08/14 05:30:37.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.90 W
2026/08/14 05:30:38.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.83 W
2026/08/14 05:30:39.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.92 W
2026/08/14 05:30:40.574, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.94 W
2026/08/14 05:30:41.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.89 W
2026/08/14 05:30:42.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.89 W
2026/08/14 05:30:43.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.91 W
2026/08/14 05:30:44.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.89 W
2026/08/14 05:30:45.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.93 W
2026/08/14 05:30:46.575, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 26.94 W
