timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 00:21:32.291, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 96.67 W, 48
2026/08/14 00:21:33.298, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 97.00 W, 48
2026/08/14 00:21:34.298, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 90.88 W, 47
2026/08/14 00:21:35.298, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 68.07 W, 45
2026/08/14 00:21:36.299, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 44.42 W, 45
2026/08/14 00:21:37.299, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.47 W, 45
2026/08/14 00:21:38.299, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.09 W, 44
2026/08/14 00:21:39.299, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.09 W, 44
2026/08/14 00:21:40.299, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.72 W, 44
2026/08/14 00:21:41.300, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.28 W, 44
2026/08/14 00:21:42.300, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.09 W, 44
2026/08/14 00:21:43.300, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.95 W, 43
2026/08/14 00:21:44.300, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.89 W, 43
2026/08/14 00:21:45.300, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.75 W, 43
2026/08/14 00:21:46.301, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.59 W, 43
2026/08/14 00:21:47.301, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.22 W, 43
2026/08/14 00:21:48.301, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.78 W, 43
