timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:49:52.313, NVIDIA GeForce RTX 4090, 67 %, 19204 MiB, 49140 MiB, 278.06 W
2026/08/14 05:49:53.313, NVIDIA GeForce RTX 4090, 48 %, 19204 MiB, 49140 MiB, 277.86 W
2026/08/14 05:49:54.314, NVIDIA GeForce RTX 4090, 22 %, 19204 MiB, 49140 MiB, 264.90 W
2026/08/14 05:49:55.314, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 259.49 W
2026/08/14 05:49:56.314, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 259.31 W
2026/08/14 05:49:57.314, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 273.99 W
2026/08/14 05:49:58.314, NVIDIA GeForce RTX 4090, 70 %, 19206 MiB, 49140 MiB, 290.62 W
2026/08/14 05:49:59.315, NVIDIA GeForce RTX 4090, 92 %, 19206 MiB, 49140 MiB, 281.72 W
2026/08/14 05:50:00.315, NVIDIA GeForce RTX 4090, 53 %, 19206 MiB, 49140 MiB, 262.99 W
2026/08/14 05:50:01.315, NVIDIA GeForce RTX 4090, 17 %, 19206 MiB, 49140 MiB, 258.01 W
2026/08/14 05:50:02.315, NVIDIA GeForce RTX 4090, 37 %, 19206 MiB, 49140 MiB, 266.29 W
2026/08/14 05:50:03.315, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 287.79 W
2026/08/14 05:50:04.315, NVIDIA GeForce RTX 4090, 93 %, 19206 MiB, 49140 MiB, 293.86 W
2026/08/14 05:50:05.315, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 276.23 W
2026/08/14 05:50:06.316, NVIDIA GeForce RTX 4090, 39 %, 19206 MiB, 49140 MiB, 270.58 W
2026/08/14 05:50:07.316, NVIDIA GeForce RTX 4090, 31 %, 19206 MiB, 49140 MiB, 265.97 W
2026/08/14 05:50:08.316, NVIDIA GeForce RTX 4090, 50 %, 19206 MiB, 49140 MiB, 271.67 W
2026/08/14 05:50:09.316, NVIDIA GeForce RTX 4090, 62 %, 19206 MiB, 49140 MiB, 280.79 W
2026/08/14 05:50:10.316, NVIDIA GeForce RTX 4090, 69 %, 19206 MiB, 49140 MiB, 287.43 W
2026/08/14 05:50:11.317, NVIDIA GeForce RTX 4090, 57 %, 19206 MiB, 49140 MiB, 287.35 W
2026/08/14 05:50:12.317, NVIDIA GeForce RTX 4090, 31 %, 19206 MiB, 49140 MiB, 266.67 W
2026/08/14 05:50:13.317, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 266.57 W
2026/08/14 05:50:14.317, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 269.94 W
2026/08/14 05:50:15.383, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 276.00 W
2026/08/14 05:50:16.384, NVIDIA GeForce RTX 4090, 99 %, 19206 MiB, 49140 MiB, 295.01 W
2026/08/14 05:50:17.384, NVIDIA GeForce RTX 4090, 56 %, 19206 MiB, 49140 MiB, 290.91 W
2026/08/14 05:50:18.384, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 274.67 W
2026/08/14 05:50:19.384, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 282.17 W
2026/08/14 05:50:20.384, NVIDIA GeForce RTX 4090, 46 %, 19206 MiB, 49140 MiB, 277.44 W
2026/08/14 05:50:21.384, NVIDIA GeForce RTX 4090, 99 %, 19206 MiB, 49140 MiB, 304.71 W
2026/08/14 05:50:22.385, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 292.87 W
2026/08/14 05:50:23.385, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 274.86 W
2026/08/14 05:50:24.385, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 270.90 W
2026/08/14 05:50:25.385, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 272.40 W
2026/08/14 05:50:26.386, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 271.27 W
2026/08/14 05:50:27.386, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 269.26 W
2026/08/14 05:50:28.386, NVIDIA GeForce RTX 4090, 93 %, 19206 MiB, 49140 MiB, 297.41 W
2026/08/14 05:50:29.386, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 282.49 W
2026/08/14 05:50:30.386, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 262.84 W
2026/08/14 05:50:31.387, NVIDIA GeForce RTX 4090, 44 %, 19206 MiB, 49140 MiB, 271.45 W
2026/08/14 05:50:32.387, NVIDIA GeForce RTX 4090, 100 %, 19206 MiB, 49140 MiB, 343.55 W
2026/08/14 05:50:33.387, NVIDIA GeForce RTX 4090, 98 %, 19206 MiB, 49140 MiB, 315.69 W
2026/08/14 05:50:34.388, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 267.36 W
2026/08/14 05:50:35.388, NVIDIA GeForce RTX 4090, 26 %, 19206 MiB, 49140 MiB, 275.25 W
2026/08/14 05:50:36.388, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 272.25 W
2026/08/14 05:50:37.388, NVIDIA GeForce RTX 4090, 64 %, 19206 MiB, 49140 MiB, 276.20 W
2026/08/14 05:50:38.388, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 278.17 W
2026/08/14 05:50:39.389, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 296.15 W
2026/08/14 05:50:40.389, NVIDIA GeForce RTX 4090, 78 %, 19206 MiB, 49140 MiB, 271.90 W
2026/08/14 05:50:41.389, NVIDIA GeForce RTX 4090, 23 %, 19206 MiB, 49140 MiB, 281.63 W
2026/08/14 05:50:42.390, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 275.31 W
2026/08/14 05:50:43.390, NVIDIA GeForce RTX 4090, 60 %, 19206 MiB, 49140 MiB, 281.96 W
2026/08/14 05:50:44.390, NVIDIA GeForce RTX 4090, 75 %, 19206 MiB, 49140 MiB, 279.85 W
2026/08/14 05:50:45.390, NVIDIA GeForce RTX 4090, 93 %, 19206 MiB, 49140 MiB, 285.65 W
2026/08/14 05:50:46.390, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 285.99 W
2026/08/14 05:50:47.391, NVIDIA GeForce RTX 4090, 44 %, 19206 MiB, 49140 MiB, 277.61 W
2026/08/14 05:50:48.391, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 274.96 W
2026/08/14 05:50:49.391, NVIDIA GeForce RTX 4090, 51 %, 19206 MiB, 49140 MiB, 277.48 W
2026/08/14 05:50:50.391, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 286.78 W
2026/08/14 05:50:51.392, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 311.86 W
2026/08/14 05:50:52.392, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 281.70 W
2026/08/14 05:50:53.392, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 268.14 W
2026/08/14 05:50:54.392, NVIDIA GeForce RTX 4090, 28 %, 19206 MiB, 49140 MiB, 273.60 W
2026/08/14 05:50:55.393, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 272.20 W
2026/08/14 05:50:56.393, NVIDIA GeForce RTX 4090, 56 %, 19206 MiB, 49140 MiB, 277.51 W
2026/08/14 05:50:57.393, NVIDIA GeForce RTX 4090, 96 %, 19206 MiB, 49140 MiB, 300.61 W
2026/08/14 05:50:58.393, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 289.97 W
2026/08/14 05:50:59.393, NVIDIA GeForce RTX 4090, 52 %, 19206 MiB, 49140 MiB, 276.00 W
2026/08/14 05:51:00.394, NVIDIA GeForce RTX 4090, 30 %, 19206 MiB, 49140 MiB, 271.35 W
2026/08/14 05:51:01.394, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 273.65 W
2026/08/14 05:51:02.394, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 275.73 W
2026/08/14 05:51:03.396, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 277.38 W
2026/08/14 05:51:04.396, NVIDIA GeForce RTX 4090, 70 %, 19206 MiB, 49140 MiB, 284.37 W
2026/08/14 05:51:05.396, NVIDIA GeForce RTX 4090, 88 %, 19206 MiB, 49140 MiB, 293.65 W
2026/08/14 05:51:06.396, NVIDIA GeForce RTX 4090, 58 %, 19206 MiB, 49140 MiB, 290.09 W
2026/08/14 05:51:07.396, NVIDIA GeForce RTX 4090, 29 %, 19206 MiB, 49140 MiB, 273.54 W
