timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 03:34:56.892, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 92.34 W, 48
2026/08/14 03:34:57.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 97.93 W, 48
2026/08/14 03:34:58.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 89.00 W, 47
2026/08/14 03:34:59.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 69.89 W, 47
2026/08/14 03:35:00.901, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 51.37 W, 46
2026/08/14 03:35:01.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 49.16 W, 46
2026/08/14 03:35:02.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 44.65 W, 46
2026/08/14 03:35:03.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.60 W, 45
2026/08/14 03:35:04.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.77 W, 45
2026/08/14 03:35:05.905, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.63 W, 45
2026/08/14 03:35:06.906, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.46 W, 45
2026/08/14 03:35:07.908, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.22 W, 45
2026/08/14 03:35:08.908, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.57 W, 44
2026/08/14 03:35:09.908, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.73 W, 44
2026/08/14 03:35:10.909, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.38 W, 44
2026/08/14 03:35:11.909, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.15 W, 44
2026/08/14 03:35:12.910, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.86 W, 44
2026/08/14 03:35:13.912, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.58 W, 44
2026/08/14 03:35:14.913, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.47 W, 44
2026/08/14 03:35:15.913, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.51 W, 43
2026/08/14 03:35:16.913, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.29 W, 43
2026/08/14 03:35:17.914, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.39 W, 43
2026/08/14 03:35:18.914, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.73 W, 43
2026/08/14 03:35:19.914, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.28 W, 43
2026/08/14 03:35:20.914, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.97 W, 43
2026/08/14 03:35:21.914, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.97 W, 43
2026/08/14 03:35:22.983, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.72 W, 43
2026/08/14 03:35:23.985, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.49 W, 43
2026/08/14 03:35:24.986, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.52 W, 42
2026/08/14 03:35:25.987, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.60 W, 42
