timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 03:17:14.993, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 90.05 W, 47
2026/08/14 03:17:16.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 95.45 W, 47
2026/08/14 03:17:17.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 87.04 W, 46
2026/08/14 03:17:18.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 68.07 W, 45
2026/08/14 03:17:19.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 47.29 W, 45
2026/08/14 03:17:20.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.00 W, 44
2026/08/14 03:17:21.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.01 W, 44
2026/08/14 03:17:22.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.69 W, 44
2026/08/14 03:17:23.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.36 W, 44
2026/08/14 03:17:24.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.55 W, 44
2026/08/14 03:17:25.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.15 W, 43
2026/08/14 03:17:26.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.07 W, 43
2026/08/14 03:17:27.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.57 W, 43
2026/08/14 03:17:28.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.29 W, 43
2026/08/14 03:17:29.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.22 W, 43
2026/08/14 03:17:30.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.94 W, 43
2026/08/14 03:17:31.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.78 W, 43
2026/08/14 03:17:32.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.54 W, 42
2026/08/14 03:17:33.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.16 W, 42
2026/08/14 03:17:34.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.09 W, 42
2026/08/14 03:17:35.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.22 W, 42
2026/08/14 03:17:36.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.14 W, 42
2026/08/14 03:17:37.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.03 W, 42
2026/08/14 03:17:38.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.11 W, 42
2026/08/14 03:17:39.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.00 W, 42
2026/08/14 03:17:40.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.93 W, 42
2026/08/14 03:17:41.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.76 W, 41
2026/08/14 03:17:42.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.43 W, 41
2026/08/14 03:17:43.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.28 W, 41
2026/08/14 03:17:44.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.17 W, 41
2026/08/14 03:17:45.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.80 W, 41
2026/08/14 03:17:46.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.38 W, 41
2026/08/14 03:17:47.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.31 W, 41
2026/08/14 03:17:48.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.19 W, 41
2026/08/14 03:17:49.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.91 W, 41
2026/08/14 03:17:50.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.65 W, 41
2026/08/14 03:17:51.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.65 W, 41
2026/08/14 03:17:52.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.57 W, 41
2026/08/14 03:17:53.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.55 W, 41
2026/08/14 03:17:54.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.66 W, 40
2026/08/14 03:17:55.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.69 W, 40
2026/08/14 03:17:56.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.52 W, 40
2026/08/14 03:17:57.083, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.30 W, 40
2026/08/14 03:17:58.083, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.51 W, 40
2026/08/14 03:17:59.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.84 W, 40
2026/08/14 03:18:00.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.72 W, 40
2026/08/14 03:18:01.085, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.35 W, 40
2026/08/14 03:18:02.086, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.17 W, 40
2026/08/14 03:18:03.086, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.07 W, 40
2026/08/14 03:18:04.086, NVIDIA GeForce RTX 4090, 44 %, 1 %, 4880 MiB, 49140 MiB, 35.32 W, 41
2026/08/14 03:18:05.086, NVIDIA GeForce RTX 4090, 58 %, 1 %, 12012 MiB, 49140 MiB, 85.98 W, 42
2026/08/14 03:18:06.089, NVIDIA GeForce RTX 4090, 75 %, 1 %, 18998 MiB, 49140 MiB, 91.43 W, 42
2026/08/14 03:18:07.089, NVIDIA GeForce RTX 4090, 67 %, 25 %, 19200 MiB, 49140 MiB, 215.42 W, 54
2026/08/14 03:18:08.089, NVIDIA GeForce RTX 4090, 48 %, 20 %, 19202 MiB, 49140 MiB, 252.52 W, 55
2026/08/14 03:18:09.089, NVIDIA GeForce RTX 4090, 73 %, 43 %, 19204 MiB, 49140 MiB, 289.53 W, 56
2026/08/14 03:18:10.090, NVIDIA GeForce RTX 4090, 54 %, 31 %, 19204 MiB, 49140 MiB, 276.30 W, 56
2026/08/14 03:18:11.090, NVIDIA GeForce RTX 4090, 36 %, 13 %, 19204 MiB, 49140 MiB, 265.91 W, 52
2026/08/14 03:18:12.091, NVIDIA GeForce RTX 4090, 47 %, 16 %, 19204 MiB, 49140 MiB, 261.91 W, 52
2026/08/14 03:18:13.091, NVIDIA GeForce RTX 4090, 66 %, 26 %, 19204 MiB, 49140 MiB, 283.26 W, 58
2026/08/14 03:18:14.091, NVIDIA GeForce RTX 4090, 72 %, 41 %, 19204 MiB, 49140 MiB, 292.38 W, 58
2026/08/14 03:18:15.092, NVIDIA GeForce RTX 4090, 60 %, 32 %, 19204 MiB, 49140 MiB, 280.23 W, 58
2026/08/14 03:18:16.094, NVIDIA GeForce RTX 4090, 30 %, 11 %, 19204 MiB, 49140 MiB, 263.25 W, 55
2026/08/14 03:18:17.094, NVIDIA GeForce RTX 4090, 34 %, 12 %, 19204 MiB, 49140 MiB, 251.77 W, 53
2026/08/14 03:18:18.094, NVIDIA GeForce RTX 4090, 42 %, 16 %, 19204 MiB, 49140 MiB, 262.71 W, 57
2026/08/14 03:18:19.095, NVIDIA GeForce RTX 4090, 47 %, 27 %, 19204 MiB, 49140 MiB, 266.05 W, 59
