timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 01:54:29.994, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 103.13 W, 50
2026/08/14 01:54:31.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 102.99 W, 49
2026/08/14 01:54:32.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 92.07 W, 48
2026/08/14 01:54:33.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 70.82 W, 47
2026/08/14 01:54:34.001, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 48.98 W, 47
2026/08/14 01:54:35.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 40.01 W, 46
2026/08/14 01:54:36.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 39.00 W, 46
2026/08/14 01:54:37.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.37 W, 46
2026/08/14 01:54:38.002, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.21 W, 45
2026/08/14 01:54:39.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.47 W, 45
2026/08/14 01:54:40.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.96 W, 45
2026/08/14 01:54:41.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.86 W, 45
2026/08/14 01:54:42.003, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.41 W, 44
2026/08/14 01:54:43.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.76 W, 44
2026/08/14 01:54:44.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.14 W, 44
2026/08/14 01:54:45.004, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.79 W, 44
2026/08/14 01:54:46.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.61 W, 44
2026/08/14 01:54:47.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.59 W, 44
2026/08/14 01:54:48.005, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.00 W, 43
2026/08/14 01:54:49.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.59 W, 43
2026/08/14 01:54:50.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.24 W, 43
2026/08/14 01:54:51.006, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.62 W, 43
2026/08/14 01:54:52.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.68 W, 43
2026/08/14 01:54:53.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.63 W, 43
2026/08/14 01:54:54.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.27 W, 43
2026/08/14 01:54:55.007, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.31 W, 42
2026/08/14 01:54:56.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.09 W, 42
2026/08/14 01:54:57.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.32 W, 42
2026/08/14 01:54:58.008, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.97 W, 42
2026/08/14 01:54:59.009, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.09 W, 42
2026/08/14 01:55:00.009, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.34 W, 42
2026/08/14 01:55:01.009, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.39 W, 42
2026/08/14 01:55:02.010, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.44 W, 42
2026/08/14 01:55:03.010, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.00 W, 42
2026/08/14 01:55:04.010, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.45 W, 42
2026/08/14 01:55:05.010, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.21 W, 42
2026/08/14 01:55:06.011, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.66 W, 41
2026/08/14 01:55:07.011, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.97 W, 41
2026/08/14 01:55:08.011, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.72 W, 41
2026/08/14 01:55:09.011, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.72 W, 41
2026/08/14 01:55:10.012, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.71 W, 41
2026/08/14 01:55:11.083, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.65 W, 41
2026/08/14 01:55:12.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.18 W, 41
2026/08/14 01:55:13.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.92 W, 41
2026/08/14 01:55:14.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.85 W, 41
2026/08/14 01:55:15.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.97 W, 41
2026/08/14 01:55:16.084, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.16 W, 41
2026/08/14 01:55:17.085, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.35 W, 41
2026/08/14 01:55:18.085, NVIDIA GeForce RTX 4090, 8 %, 0 %, 4126 MiB, 49140 MiB, 35.02 W, 42
2026/08/14 01:55:19.085, NVIDIA GeForce RTX 4090, 63 %, 1 %, 11496 MiB, 49140 MiB, 84.24 W, 43
2026/08/14 01:55:20.085, NVIDIA GeForce RTX 4090, 74 %, 1 %, 18998 MiB, 49140 MiB, 91.04 W, 43
2026/08/14 01:55:21.086, NVIDIA GeForce RTX 4090, 31 %, 14 %, 19200 MiB, 49140 MiB, 220.70 W, 54
2026/08/14 01:55:22.086, NVIDIA GeForce RTX 4090, 71 %, 42 %, 19202 MiB, 49140 MiB, 261.61 W, 55
2026/08/14 01:55:23.086, NVIDIA GeForce RTX 4090, 50 %, 27 %, 19204 MiB, 49140 MiB, 296.01 W, 55
2026/08/14 01:55:24.086, NVIDIA GeForce RTX 4090, 31 %, 12 %, 19204 MiB, 49140 MiB, 273.60 W, 51
2026/08/14 01:55:25.087, NVIDIA GeForce RTX 4090, 39 %, 14 %, 19204 MiB, 49140 MiB, 271.24 W, 58
2026/08/14 01:55:26.087, NVIDIA GeForce RTX 4090, 54 %, 29 %, 19204 MiB, 49140 MiB, 276.34 W, 57
2026/08/14 01:55:27.087, NVIDIA GeForce RTX 4090, 92 %, 52 %, 19204 MiB, 49140 MiB, 286.71 W, 60
2026/08/14 01:55:28.087, NVIDIA GeForce RTX 4090, 39 %, 14 %, 19204 MiB, 49140 MiB, 290.57 W, 53
2026/08/14 01:55:29.088, NVIDIA GeForce RTX 4090, 36 %, 12 %, 19204 MiB, 49140 MiB, 270.03 W, 58
2026/08/14 01:55:30.088, NVIDIA GeForce RTX 4090, 36 %, 16 %, 19204 MiB, 49140 MiB, 272.01 W, 59
2026/08/14 01:55:31.088, NVIDIA GeForce RTX 4090, 69 %, 43 %, 19204 MiB, 49140 MiB, 279.23 W, 62
2026/08/14 01:55:32.088, NVIDIA GeForce RTX 4090, 67 %, 30 %, 19204 MiB, 49140 MiB, 293.93 W, 55
